time,time_s,VCU_INV_Direction_Command,VCU_INV_Inverter_Discharge,VCU_INV_Inverter_Enable,VCU_INV_RollingCounter,VCU_INV_Speed_Command,VCU_INV_Speed_Mode_Enable,VCU_INV_Torque_Command,VCU_INV_Torque_Limit_Command
2026-08-22T22:03:50.460Z,2.783,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.466Z,2.789,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.483Z,2.806,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.483Z,2.806,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.494Z,2.817,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.515Z,2.838,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:50.515Z,2.838,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.526Z,2.849,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.547Z,2.87,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.547Z,2.87,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.558Z,2.881,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.579Z,2.902,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:50.579Z,2.902,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.589Z,2.912,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.610Z,2.933,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.610Z,2.933,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.621Z,2.944,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.642Z,2.965,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:50.642Z,2.965,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.653Z,2.976,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.674Z,2.997,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.674Z,2.997,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.684Z,3.007,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.705Z,3.028,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:50.705Z,3.028,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.716Z,3.039,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.737Z,3.06,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.737Z,3.06,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.748Z,3.071,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.769Z,3.092,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:50.769Z,3.092,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.780Z,3.103,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.786Z,3.109,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.801Z,3.124,0,0,0,2,0,0,0.0,0.0
